state,R_G,L_G,critical_nodes,MSPL,NSP,CMPL,CMC,MOD,AOD,AB_G,theta_bn,theta_mod
NORMAL,0;5;6;7;8;9,0;1;2;3;4;7;8,0;7;8,1,2,2,6,3,1.142857,0.000000,0.000000,1.450772
BW_CONGESTION,0;5;6;7;8;9,0;1;2;3;4;7;8,0;7;8,1,2,2,6,3,1.142857,0.000000,0.000000,1.450772
TRUST_DEGRADED,0;5;6;7;8;9,0;1;2;3;4;7;8,0;7;8,1,2,2,6,3,1.142857,0.000000,0.000000,1.450772
DELAY_SPIKE,0;5;6;7;8;9,0;1;2;3;4;7;8,0;7;8,1,2,2,6,3,1.142857,0.000000,0.000000,1.450772
STRUCTURE_MITIGATED,0;5;6;7;8;9,0;1;2;3;4;7;8,0;7;8,1,2,2,6,3,1.142857,0.000000,0.000000,1.450772
