state,node,zone,is_root,is_target,is_critical,BN,MOD_node_out_degree,on_shortest_attack_path,cvss_max,theta_bn,theta_mod,struct_pass_raw
DELAY_SPIKE,5,DMZ,True,False,False,0.000000,0.000000,False,10.000000,0.000000,1.450772,True
DELAY_SPIKE,6,DMZ,True,False,False,0.000000,1.000000,False,9.800000,0.000000,1.450772,True
DELAY_SPIKE,7,FIN,True,True,True,0.000000,1.000000,True,9.800000,0.000000,1.450772,True
DELAY_SPIKE,8,FIN,True,True,True,0.000000,1.000000,True,9.800000,0.000000,1.450772,True
DELAY_SPIKE,9,HR,True,False,False,0.000000,0.000000,False,8.800000,0.000000,1.450772,True
DELAY_SPIKE,10,HR,False,False,False,0.000000,1.000000,False,0.000000,0.000000,1.450772,True
DELAY_SPIKE,11,HR,False,False,False,0.000000,1.000000,False,0.000000,0.000000,1.450772,True
DELAY_SPIKE,12,HR,False,False,False,0.000000,1.000000,False,0.000000,0.000000,1.450772,True
DELAY_SPIKE,13,HR,False,False,False,0.000000,0.000000,False,0.000000,0.000000,1.450772,True
DELAY_SPIKE,14,IT,False,False,False,0.000000,1.000000,False,7.800000,0.000000,1.450772,True
DELAY_SPIKE,15,IT,False,False,False,0.000000,0.000000,False,0.000000,0.000000,1.450772,True
DELAY_SPIKE,16,IT,False,False,False,0.000000,0.000000,False,0.000000,0.000000,1.450772,True
DELAY_SPIKE,17,IT,False,False,False,0.000000,0.000000,False,0.000000,0.000000,1.450772,True
DELAY_SPIKE,18,IT,False,False,False,0.000000,1.000000,False,0.000000,0.000000,1.450772,True
STRUCTURE_MITIGATED,0,Core,True,True,True,0.000000,3.000000,True,10.000000,0.000000,1.450772,False
STRUCTURE_MITIGATED,1,Core,False,True,False,0.000000,1.000000,False,6.600000,0.000000,1.450772,True
STRUCTURE_MITIGATED,2,Core,False,True,False,0.000000,1.000000,False,0.000000,0.000000,1.450772,True
STRUCTURE_MITIGATED,3,Core,False,True,False,0.000000,1.000000,False,0.000000,0.000000,1.450772,True
STRUCTURE_MITIGATED,4,Core,False,True,False,0.000000,0.000000,False,0.000000,0.000000,1.450772,True
STRUCTURE_MITIGATED,5,DMZ,True,False,False,0.000000,0.000000,False,10.000000,0.000000,1.450772,True
STRUCTURE_MITIGATED,6,DMZ,True,False,False,0.000000,1.000000,False,9.800000,0.000000,1.450772,True
STRUCTURE_MITIGATED,7,FIN,True,True,True,0.000000,1.000000,True,9.800000,0.000000,1.450772,True
