state,node,zone,I_identity,B_behavior,C_context,T_trust_0_4I_0_3B_0_3C,theta_path,trust_pass,BN,MOD,theta_bn,theta_mod,struct_pass_raw,struct_exempt_core_or_endpoint,struct_pass_after_exemption,composite_node_mask
TRUST_DEGRADED,6,DMZ,1.000000,0.950000,1.000000,0.985000,0.900000,True,0.000000,1.000000,0.000000,1.450772,True,False,True,True
TRUST_DEGRADED,7,FIN,1.000000,0.950000,1.000000,0.985000,0.900000,True,0.000000,1.000000,0.000000,1.450772,True,True,True,True
TRUST_DEGRADED,8,FIN,1.000000,0.950000,1.000000,0.985000,0.900000,True,0.000000,1.000000,0.000000,1.450772,True,False,True,True
TRUST_DEGRADED,9,HR,1.000000,0.950000,1.000000,0.985000,0.900000,True,0.000000,0.000000,0.000000,1.450772,True,False,True,True
TRUST_DEGRADED,10,HR,1.000000,0.950000,1.000000,0.985000,0.900000,True,0.000000,1.000000,0.000000,1.450772,True,False,True,True
TRUST_DEGRADED,11,HR,1.000000,0.950000,1.000000,0.985000,0.900000,True,0.000000,1.000000,0.000000,1.450772,True,False,True,True
TRUST_DEGRADED,12,HR,1.000000,0.300000,1.000000,0.790000,0.900000,False,0.000000,1.000000,0.000000,1.450772,True,False,True,False
TRUST_DEGRADED,13,HR,1.000000,0.950000,1.000000,0.985000,0.900000,True,0.000000,0.000000,0.000000,1.450772,True,False,True,True
TRUST_DEGRADED,14,IT,1.000000,0.950000,1.000000,0.985000,0.900000,True,0.000000,1.000000,0.000000,1.450772,True,True,True,True
TRUST_DEGRADED,15,IT,1.000000,0.950000,1.000000,0.985000,0.900000,True,0.000000,0.000000,0.000000,1.450772,True,False,True,True
TRUST_DEGRADED,16,IT,1.000000,0.950000,1.000000,0.985000,0.900000,True,0.000000,0.000000,0.000000,1.450772,True,False,True,True
TRUST_DEGRADED,17,IT,1.000000,0.950000,1.000000,0.985000,0.900000,True,0.000000,0.000000,0.000000,1.450772,True,False,True,True
TRUST_DEGRADED,18,IT,1.000000,0.950000,1.000000,0.985000,0.900000,True,0.000000,1.000000,0.000000,1.450772,True,False,True,True
DELAY_SPIKE,0,Core,1.000000,0.950000,1.000000,0.985000,0.900000,True,0.000000,3.000000,0.000000,1.450772,False,True,True,True
